triplet;kappa;theta;sigma;rho;price;err;exec_time
0;0.5000;0.0500;0.1000;-0.9500;0.117573;0.001684;1.34
1;0.5000;0.0500;0.1200;-0.9500;0.116865;0.001650;1.34
2;0.5000;0.0500;0.1400;-0.9500;0.114773;0.001598;1.34
3;0.5000;0.0500;0.1600;-0.9500;0.116174;0.001585;1.34
4;0.5000;0.0500;0.1800;-0.9500;0.116258;0.001565;1.34
5;0.5000;0.0500;0.2000;-0.9500;0.115938;0.001531;1.34
6;0.5000;0.0500;0.2200;-0.9500;0.114310;0.001495;1.34
7;0.5000;0.0500;0.2400;-0.9500;0.114958;0.001474;1.34
8;0.5000;0.0500;0.2600;-0.9500;0.113629;0.001445;1.34
9;0.5000;0.0500;0.2800;-0.9500;0.112547;0.001412;1.34
10;0.5000;0.0600;0.1000;-0.9500;0.117666;0.001692;1.34
11;0.5000;0.0600;0.1200;-0.9500;0.118421;0.001676;1.34
12;0.5000;0.0600;0.1400;-0.9500;0.117325;0.001637;1.34
13;0.5000;0.0600;0.1600;-0.9500;0.117704;0.001619;1.34
14;0.5000;0.0600;0.1800;-0.9500;0.116346;0.001576;1.34
15;0.5000;0.0600;0.2000;-0.9500;0.117087;0.001559;1.34
16;0.5000;0.0600;0.2200;-0.9500;0.115883;0.001523;1.34
17;0.5000;0.0600;0.2400;-0.9500;0.115805;0.001498;1.34
18;0.5000;0.0600;0.2600;-0.9500;0.115038;0.001472;1.34
19;0.5000;0.0600;0.2800;-0.9500;0.114481;0.001440;1.34
20;0.5000;0.0700;0.1000;-0.9500;0.120047;0.001723;1.34
21;0.5000;0.0700;0.1200;-0.9500;0.119955;0.001706;1.34
22;0.5000;0.0700;0.1400;-0.9500;0.120103;0.001675;1.34
23;0.5000;0.0700;0.1600;-0.9500;0.119370;0.001640;1.34
24;0.5000;0.0700;0.1800;-0.9500;0.118251;0.001602;1.34
25;0.5000;0.0700;0.2000;-0.9500;0.118035;0.001580;1.34
26;0.5000;0.0700;0.2200;-0.9500;0.117783;0.001555;1.34
27;0.5000;0.0700;0.2400;-0.9500;0.117000;0.001521;1.34
28;0.5000;0.0700;0.2600;-0.9500;0.115853;0.001491;1.34
29;0.5000;0.0700;0.2800;-0.9500;0.115191;0.001465;1.34
