triplet;kappa;theta;sigma;rho;price;err;exec_time
0;0.5000;0.0500;0.1000;-0.9500;0.117848;0.001687;110.94
1;0.5000;0.0500;0.1200;-0.9500;0.117603;0.001653;110.94
2;0.5000;0.0500;0.1400;-0.9500;0.117282;0.001615;110.94
3;0.5000;0.0500;0.1600;-0.9500;0.112927;0.001547;110.94
4;0.5000;0.0500;0.1800;-0.9500;0.111754;0.001521;110.94
5;0.5000;0.0500;0.2000;-0.9500;0.110148;0.001486;110.94
6;0.5000;0.0500;0.2200;-0.9500;0.110375;0.001469;110.94
7;0.5000;0.0500;0.2400;-0.9500;0.110421;0.001447;110.94
8;0.5000;0.0500;0.2600;-0.9500;0.109887;0.001423;110.94
9;0.5000;0.0500;0.2800;-0.9500;0.110063;0.001398;110.94
10;0.5000;0.0600;0.1000;-0.9500;0.117595;0.001700;110.94
11;0.5000;0.0600;0.1200;-0.9500;0.117352;0.001663;110.94
12;0.5000;0.0600;0.1400;-0.9500;0.116467;0.001626;110.94
13;0.5000;0.0600;0.1600;-0.9500;0.116718;0.001598;110.94
14;0.5000;0.0600;0.1800;-0.9500;0.114642;0.001559;110.94
15;0.5000;0.0600;0.2000;-0.9500;0.111476;0.001510;110.94
16;0.5000;0.0600;0.2200;-0.9500;0.111369;0.001492;110.94
17;0.5000;0.0600;0.2400;-0.9500;0.109827;0.001456;110.94
18;0.5000;0.0600;0.2600;-0.9500;0.111257;0.001446;110.94
19;0.5000;0.0600;0.2800;-0.9500;0.110676;0.001420;110.94
20;0.5000;0.0700;0.1000;-0.9500;0.120668;0.001738;110.94
21;0.5000;0.0700;0.1200;-0.9500;0.119395;0.001698;110.94
22;0.5000;0.0700;0.1400;-0.9500;0.118844;0.001659;110.94
23;0.5000;0.0700;0.1600;-0.9500;0.116986;0.001614;110.94
24;0.5000;0.0700;0.1800;-0.9500;0.114602;0.001568;110.94
25;0.5000;0.0700;0.2000;-0.9500;0.113674;0.001541;110.94
26;0.5000;0.0700;0.2200;-0.9500;0.111973;0.001510;110.94
27;0.5000;0.0700;0.2400;-0.9500;0.111383;0.001480;110.94
28;0.5000;0.0700;0.2600;-0.9500;0.112147;0.001465;110.94
29;0.5000;0.0700;0.2800;-0.9500;0.112840;0.001450;110.94
30;0.5000;0.0800;0.1000;-0.9500;0.121398;0.001753;110.94
31;0.5000;0.0800;0.1200;-0.9500;0.121105;0.001722;110.94
